Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,3676.22000000,3776.45000000,3673.46000000,3765.54000000,3765.54000000,154143.89680000
2022-01-02,3765.54000000,3857.44000000,3717.30000000,3828.27000000,3828.27000000,154791.42630000
2022-01-03,3828.11000000,3853.09000000,3680.00000000,3765.89000000,3765.89000000,236245.85860000
2022-01-04,3765.89000000,3900.73000000,3713.11000000,3785.11000000,3785.11000000,288258.55490000
2022-01-05,3785.10000000,3848.00000000,3415.00000000,3540.63000000,3540.63000000,397942.03630000
2022-01-06,3539.82000000,3550.43000000,3300.00000000,3406.81000000,3406.81000000,496745.74130000
2022-01-07,3406.81000000,3416.76000000,3064.42000000,3199.24000000,3199.24000000,669631.72620000
2022-01-08,3198.68000000,3250.00000000,3000.00000000,3080.95000000,3080.95000000,400692.10610000
2022-01-09,3080.98000000,3211.72000000,3057.35000000,3151.97000000,3151.97000000,275874.16430000
2022-01-10,3151.97000000,3185.00000000,2928.83000000,3082.68000000,3082.68000000,529818.38660000
2022-01-11,3082.87000000,3263.54000000,3051.80000000,3239.72000000,3239.72000000,362446.70870000
2022-01-12,3239.73000000,3411.43000000,3206.20000000,3371.26000000,3371.26000000,370465.80150000
2022-01-13,3371.60000000,3410.00000000,3233.43000000,3240.61000000,3240.61000000,336234.87990000
2022-01-14,3240.61000000,3342.79000000,3188.00000000,3307.42000000,3307.42000000,285326.35050000
2022-01-15,3307.42000000,3371.64000000,3261.00000000,3326.04000000,3326.04000000,203100.37780000
2022-01-16,3326.51000000,3393.60000000,3269.62000000,3346.88000000,3346.88000000,210782.22770000
2022-01-17,3346.89000000,3357.57000000,3141.10000000,3209.67000000,3209.67000000,284063.65480000
2022-01-18,3209.68000000,3243.87000000,3082.00000000,3159.85000000,3159.85000000,299134.27280000
2022-01-19,3159.85000000,3174.87000000,3000.00000000,3084.02000000,3084.02000000,332996.57030000
2022-01-20,3084.02000000,3273.37000000,2987.15000000,3001.48000000,3001.48000000,357596.70620000
2022-01-21,3001.48000000,3034.12000000,2403.00000000,2568.15000000,2568.15000000,1022021.70024000
2022-01-22,2567.47000000,2626.00000000,2300.00000000,2412.18000000,2412.18000000,1081357.54893000
2022-01-23,2412.18000000,2556.78000000,2370.80000000,2539.01000000,2539.01000000,580497.76130000
2022-01-24,2539.00000000,2539.75000000,2159.00000000,2439.29000000,2439.29000000,1123134.70389000
2022-01-25,2439.56000000,2506.55000000,2348.96000000,2458.83000000,2458.83000000,510152.95400000
2022-01-26,2459.04000000,2722.00000000,2402.03000000,2462.99000000,2462.99000000,806441.62289000
2022-01-27,2463.00000000,2521.00000000,2316.43000000,2424.25000000,2424.25000000,599481.71590000
2022-01-28,2424.02000000,2558.98000000,2357.88000000,2544.99000000,2544.99000000,485149.80650000
2022-01-29,2544.99000000,2636.66000000,2520.01000000,2601.43000000,2601.43000000,376666.82460000
2022-01-30,2601.43000000,2640.00000000,2542.50000000,2601.68000000,2601.68000000,290770.08590000
2022-01-31,2601.67000000,2706.77000000,2476.07000000,2686.94000000,2686.94000000,444584.85100000
2022-02-01,2686.94000000,2813.00000000,2673.52000000,2787.23000000,2787.23000000,390034.27362000
2022-02-02,2787.48000000,2810.88000000,2612.72000000,2680.67000000,2680.67000000,447852.12280000
2022-02-03,2680.25000000,2726.64000000,2576.05000000,2695.46000000,2695.46000000,405043.39310000
2022-02-04,2695.21000000,2995.00000000,2671.40000000,2994.99000000,2994.99000000,664002.93280000
2022-02-05,2994.99000000,3060.47000000,2958.01000000,3012.65000000,3012.65000000,356803.30710000
2022-02-06,3012.64000000,3074.56000000,2950.21000000,3054.99000000,3054.99000000,249394.59660000
2022-02-07,3055.00000000,3186.00000000,2991.80000000,3139.77000000,3139.77000000,455070.25290000
2022-02-08,3139.77000000,3232.87000000,3025.21000000,3116.69000000,3116.69000000,514773.58370000
2022-02-09,3116.69000000,3269.70000000,3055.00000000,3243.94000000,3243.94000000,370267.89130000
2022-02-10,3243.60000000,3283.66000000,3056.74000000,3072.49000000,3072.49000000,578212.83830000
2022-02-11,3072.36000000,3138.62000000,2879.00000000,2927.54000000,2927.54000000,462025.87510000
2022-02-12,2927.54000000,2985.98000000,2858.30000000,2918.88000000,2918.88000000,336250.31310000
2022-02-13,2918.58000000,2954.40000000,2836.70000000,2871.13000000,2871.13000000,242751.35470000
2022-02-14,2871.14000000,2964.97000000,2829.01000000,2929.75000000,2929.75000000,381778.23800000
2022-02-15,2929.75000000,3196.19000000,2912.06000000,3183.52000000,3183.52000000,448971.75400000
