Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,46216.93000000,47954.63000000,46208.37000000,47722.65000000,47722.65000000,19604.46325000
2022-01-02,47722.66000000,47990.00000000,46654.00000000,47286.18000000,47286.18000000,18340.46040000
2022-01-03,47286.18000000,47570.00000000,45696.00000000,46446.10000000,46446.10000000,27662.07710000
2022-01-04,46446.10000000,47557.54000000,45500.00000000,45832.01000000,45832.01000000,35491.41360000
2022-01-05,45832.01000000,47070.00000000,42500.00000000,43451.13000000,43451.13000000,51784.11857000
2022-01-06,43451.14000000,43816.00000000,42430.58000000,43082.31000000,43082.31000000,38880.37305000
2022-01-07,43082.30000000,43145.83000000,40610.00000000,41566.48000000,41566.48000000,54836.50818000
2022-01-08,41566.48000000,42300.00000000,40501.00000000,41679.74000000,41679.74000000,32952.73111000
2022-01-09,41679.74000000,42786.70000000,41200.02000000,41864.62000000,41864.62000000,22724.39426000
2022-01-10,41864.62000000,42248.50000000,39650.00000000,41822.49000000,41822.49000000,50729.17019000
2022-01-11,41822.49000000,43100.00000000,41268.93000000,42729.29000000,42729.29000000,37296.43729000
2022-01-12,42729.29000000,44322.00000000,42450.00000000,43902.66000000,43902.66000000,33943.29280000
2022-01-13,43902.65000000,44500.00000000,42311.22000000,42560.11000000,42560.11000000,34910.87762000
2022-01-14,42558.35000000,43448.78000000,41725.95000000,43059.96000000,43059.96000000,32640.88292000
2022-01-15,43059.96000000,43800.00000000,42555.00000000,43084.29000000,43084.29000000,21936.05616000
2022-01-16,43084.29000000,43475.00000000,42581.79000000,43071.66000000,43071.66000000,20602.35271000
2022-01-17,43071.66000000,43176.18000000,41540.42000000,42201.62000000,42201.62000000,27562.08613000
2022-01-18,42201.63000000,42691.00000000,41250.00000000,42352.12000000,42352.12000000,29324.08257000
2022-01-19,42352.12000000,42559.13000000,41138.56000000,41660.01000000,41660.01000000,31685.72159000
2022-01-20,41660.00000000,43505.00000000,40553.31000000,40680.91000000,40680.91000000,42330.33953000
2022-01-21,40680.92000000,41100.00000000,35440.45000000,36445.31000000,36445.31000000,88860.89199900
2022-01-22,36445.31000000,36835.22000000,34008.00000000,35071.42000000,35071.42000000,90471.33896100
2022-01-23,35071.42000000,36499.00000000,34601.01000000,36244.55000000,36244.55000000,44279.52354000
2022-01-24,36244.55000000,37550.00000000,32917.17000000,36660.35000000,36660.35000000,91904.75321100
2022-01-25,36660.35000000,37545.14000000,35701.00000000,36958.32000000,36958.32000000,49232.40183000
2022-01-26,36958.32000000,38919.98000000,36234.63000000,36809.34000000,36809.34000000,69830.16036000
2022-01-27,36807.24000000,37234.47000000,35507.01000000,37160.10000000,37160.10000000,53020.87934000
2022-01-28,37160.11000000,38000.00000000,36155.01000000,37716.56000000,37716.56000000,42154.26956000
2022-01-29,37716.57000000,38720.74000000,37268.44000000,38166.84000000,38166.84000000,26129.49682000
2022-01-30,38166.83000000,38359.26000000,37351.63000000,37881.76000000,37881.76000000,21430.66527000
2022-01-31,37881.75000000,38744.00000000,36632.61000000,38466.90000000,38466.90000000,36855.24580000
2022-02-01,38466.90000000,39265.20000000,38000.00000000,38694.59000000,38694.59000000,34574.44663000
2022-02-02,38694.59000000,38855.92000000,36586.95000000,36896.36000000,36896.36000000,35794.68130000
2022-02-03,36896.37000000,37387.00000000,36250.00000000,37311.61000000,37311.61000000,32081.10999000
2022-02-04,37311.98000000,41772.33000000,37026.73000000,41574.25000000,41574.25000000,64703.95874000
2022-02-05,41571.70000000,41913.69000000,40843.01000000,41382.59000000,41382.59000000,32532.34372000
2022-02-06,41382.60000000,42656.00000000,41116.56000000,42380.87000000,42380.87000000,22405.16704000
2022-02-07,42380.87000000,44500.50000000,41645.85000000,43839.99000000,43839.99000000,51060.62006000
2022-02-08,43839.99000000,45492.00000000,42666.00000000,44042.99000000,44042.99000000,64880.29387000
2022-02-09,44043.00000000,44799.00000000,43117.92000000,44372.72000000,44372.72000000,34428.16729000
2022-02-10,44372.71000000,45821.00000000,43174.01000000,43495.44000000,43495.44000000,62357.29091000
2022-02-11,43495.44000000,43920.00000000,41938.51000000,42373.73000000,42373.73000000,44975.16870000
2022-02-12,42373.73000000,43079.49000000,41688.88000000,42217.87000000,42217.87000000,26556.85681000
